2022-06-29 00:22:05.209321,Lever Child White,Lever Child White,OK
2022-06-29 00:22:37.549973,Lever Child White,Lever Child White,OK
2022-06-29 00:22:46.932954,Lever Child White,No Lever Child 1,OK
2022-06-29 00:23:06.462842,Lever Child White,Lever Child Black,OK
2022-06-29 00:23:16.580123,Lever Child White,Lever Child White,OK
2022-06-29 00:23:27.576499,Lever Child White,Lever Child Black,OK
2022-06-29 00:23:44.127007,Lever Child White,Lever Child White,OK
2022-06-29 00:23:52.501365,Lever Child White,No Lever Child,OK
2022-06-29 00:24:02.214380,Lever Child White,No Lever Child,OK
2022-06-29 00:24:13.074705,Lever Child White,Lever Child White,OK
2022-06-29 00:24:24.833050,Lever Child White,No Lever Child 1,OK
2022-06-29 00:24:35.379522,Lever Child White,Lever Child White,OK
2022-06-29 00:24:45.513684,Lever Child White,Lever Child White,OK
2022-06-29 00:24:54.833132,Lever Child White,No Lever Child,OK
2022-06-29 00:25:30.609009,Lever Child White,Lever Child White,OK
2022-06-29 00:25:39.703391,Lever Child White,Lever Child White,OK
2022-06-29 00:25:50.097124,Lever Child White,Lever Child Black,NG
2022-06-29 00:26:00.798701,Lever Child White,Lever Child White,OK
2022-06-29 00:26:09.422088,Lever Child White,No Lever Child 1,NG
2022-06-29 00:26:21.660687,Lever Child White,Lever Child White,OK
2022-06-29 00:26:47.824295,Lever Child White,Lever Child White,OK
2022-06-29 00:27:03.206774,Lever Child White,Lever Child White,OK
2022-06-29 00:27:18.475987,Lever Child White,Lever Child White,OK
2022-06-29 00:27:26.498778,Lever Child White,No Lever Child,NG
2022-06-29 00:27:42.382914,Lever Child White,Lever Child White,OK
2022-06-29 00:27:52.369913,Lever Child White,Lever Child White,OK
2022-06-29 00:28:06.935317,Lever Child White,Lever Child White,OK
2022-06-29 00:28:15.426749,Lever Child White,No Lever Child 1,NG
2022-06-29 00:28:28.036535,Lever Child White,Lever Child White,OK
2022-06-29 00:28:38.453999,Lever Child White,Lever Child White,OK
2022-06-29 00:29:00.973154,Lever Child White,No Lever Child 1,NG
2022-06-29 00:29:14.325638,Lever Child White,Lever Child White,OK
2022-06-29 00:29:24.500655,Lever Child White,Lever Child White,OK
2022-06-29 00:29:34.459521,Lever Child White,Lever Child White,OK
2022-06-29 00:29:44.816640,Lever Child White,Lever Child White,OK
2022-06-29 00:30:01.219021,Lever Child White,Lever Child White,OK
2022-06-29 00:30:24.611024,Lever Child White,Lever Child White,OK
2022-06-29 00:30:34.470625,Lever Child White,Lever Child White,OK
2022-06-29 00:30:44.263027,Lever Child White,Lever Child White,OK
2022-06-29 00:30:54.952715,Lever Child White,Lever Child White,OK
2022-06-29 00:31:05.127092,Lever Child White,Lever Child White,OK
2022-06-29 00:31:14.510985,Lever Child White,Lever Child White,OK
2022-06-29 00:31:28.473390,Lever Child White,Lever Child White,OK
